Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
Founders Fellowships,Aq Founders Fellowship 2016-17 Round 1,Dr Philip Ellery,Burleigh Heads,4220.0,Nan,Nan,Epri - Insects For Food And Feed,Burleigh Heads,4220.0,Nan,2017-07-27,Gold Coast (C),Gold Coast,Burleigh,100000.0
Founders Fellowships,Aq Founders Fellowship 2016-17 Round 1,Microba Life Sciences Limited,Brisbane City,4000.0,Nan,Nan,Data Mining The Gut Microbiome,Brisbane City,4000.0,Nan,2017-07-27,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Founders Fellowships,Aq Founders Fellowship 2016-17 Round 1,Future Biosolutions Pty Ltd,Mountain Creek,4557.0,Nan,Nan,New Tools For Viral Monitoring,Mountain Creek,4557.0,Nan,2017-07-27,Sunshine Coast (R),Sunshine Coast,Buderim,100000.0
Founders Fellowships,Aq Founders Fellowship 2016-17 Round 1,Feline Pty Ltd,Bonogin,4213.0,Nan,Nan,Advanced Materials For Light-Weight Electric Motors,Bonogin,4213.0,Nan,2017-07-27,Gold Coast (C),Gold Coast,Mudgeeraba,100000.0
Fraunhofer Institute Partnership,Fraunhofer Institute Partnership,Griffith University,Southport,4215.0,Nan,Nan,Operation Of The Fraunhofer Icair Centre At GriffithS Gold Coast Campus,Southport,4215.0,Nan,2018-06-01,Gold Coast (C),Gold Coast,Bonney,700000.0
Global Ceo Challenge,Round 1,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,Nan,Nan,Global Ceo Scale-Up Program,Kelvin Grove,4059.0,Nan,2019-10-01,Brisbane (C),Brisbane And Redlands,Mcconnel,75000.0
Growing Queensland'S Companies,Nan,University Of South Australia (Australian Centre For Business Growth),"Adelaide, Sa",,Nan,Nan,Growing Queensland'S Companies,Nan,,"Multiple Areas In Queensland: Brisbane, Sunshine Coast, Townsville, Gold Coast",2017-02-28,Nonqueensland,Statewide,Nonqueensland,2202334.0
Hot Desq,Round 1,Citizen Wolf Pty Ltd,New South Wales,,Nan,"Host: Creative Enterprise Australia, Qut",Citizen Wolf,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 1,Lawadvisor Pty Ltd,Victoria,,Nan,Host: River City Labs,Lawadvisor Connects People And Businesses With Expert And Easy To Understand Legal Advice.,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,45000.0
Hot Desq,Round 1,Krak Skateboarding Pty Ltd,Germany,,Nan,Host: Little Tokyo Two,Krak,Brisbane City,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Ata Technologies Au Pty Ltd,United States,,Nan,Host: Qut Bluebox,Answer.Ky,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Koala Safe Pty Ltd,New South Wales,,Nan,Host: Thespace,Koalasafe,Cairns,4870.0,Nan,2016-10-10,Nonqueensland,Far North Queensland,Nonqueensland,100000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Openrevs Pty Ltd,New South Wales,,Nan,Host: Collaborate,Openrevs,Spring Hill,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Pixc Co Pty Limited,United States,,Nan,Host: River City Labs,Pixc,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,Much Better Adventures Pty Ltd,United Kingdom,,Nan,Host: River City Labs,Much Better Adventures,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,9091.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Eternime Pty Ltd,United States,,Nan,Host: Qut Creative Enterprise Australia,Eternime,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Covercard Pty Ltd,Victoria,,Nan,Host: River City Labs,Covercard,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Criskco Au Pty Ltd,Israel,,Nan,Host: Collaborate,Criskco,Spring Hill,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Deepblu (Australia) Pty Ltd,Taiwan,,Nan,Host: Thespace,Deepblu Inc.,Cairns,4870.0,Nan,2016-10-10,Nonqueensland,Far North Queensland,Nonqueensland,100000.0
Hot Desq,Round 1,Eikonic R & D Pty Ltd,Victoria,,Nan,Host: Collaborate,Eikonic R&D Pty Ltd,Spring Hill,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Innovation Centre Sunshine Coast,Sippy Downs,4556.0,Nan,Nan,Host,Sippy Downs,4556.0,Nan,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Kallfly Pty Ltd,Phillipines,,Nan,Host: Little Tokyo Two,Kallfly,Brisbane City,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Iridium Dynamics Pty Ltd,New South Wales,,Nan,Host: Qut Bluebox,Iridium Dynamics,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Flowpay Australia Pty Ltd,United States,,Nan,Host: River City Labs,Flowpay,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,Contact2Sale Pty Ltd,Brazil,,Nan,Host: River City Labs,Contact2Sale,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 1,Foogi Australia Pty Limited,New South Wales,,Nan,Host: Little Tokyo Two,Foogi,Brisbane City,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Reflive Pty Ltd,Victoria,,Nan,Host: River City Labs,Reflive,Fortitude Valley,4006.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,Nan,Nan,Host,Sippy Downs,4556.0,Nan,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,8000.0
Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,Nan,Nan,Host,Sippy Downs,4556.0,Nan,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,6000.0
Hot Desq,Round 2,The Generator (Bundaberg),Bundaberg,4670.0,Nan,Nan,Host,Bundaberg,4670.0,Nan,2017-06-01,Bundaberg (R),Wide Bay,Bundaberg,8000.0
Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Sensor Bridge Technologies Pty Ltd (Business Name - Less Industries),Argentina,,Nan,Host: The Generator (Bundaberg),Less Industries,Bundaberg,4670.0,Nan,2017-07-27,Nonqueensland,Wide Bay,Nonqueensland,100000.0
Hot Desq,Round 2,Speedlancer Pty Ltd,Victoria,,Nan,Host: Little Tokyo Two,Speedlancer,Spring Hill,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Medicsensors Aus Pty Ltd (Medicsen),Spain,,Nan,Host: Innovation Centre Sunshine Coast,Medicsen,Sippy Downs,4556.0,Nan,2017-07-27,Nonqueensland,Sunshine Coast,Nonqueensland,100000.0
Hot Desq,Round 2,Micropowerlabs (Aus) Pty Ltd,Singapore,,Nan,Host: Fire Station 101,Micropowerlabs,Ipswich,4305.0,Nan,2017-07-27,Nonqueensland,Ipswich,Nonqueensland,55000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,3000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Pinch Labs,United States,,Nan,Host: River City Labs,Pinch Labs,Fortitude Valley,4006.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Pledgeme Pty Ltd,New Zealand,,Nan,Host: Little Tokyo Two,Pledgeme,Brisbane City,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Pycno Industries Pty Ltd,China,,Nan,Host: Qut Bluebox,Pycno,Kelvin Grove,4059.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Parasym,United Kingdom,,Nan,Host: Fishburners,Parasym,Brisbane City,4000.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Hotelflex Pty Ltd,United Kingdom,,Nan,Host: Gc Hub,Hotelflex,Robina,4226.0,Nan,2019-01-08,Nonqueensland,Gold Coast,Nonqueensland,100000.0
Hot Desq,Round 3,K R Consultancy Services Pty Ltd,Australian Capital Territory,,Nan,Host: Thespace,Questagame,Manunda,4870.0,Nan,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,75000.0
Hot Desq,Round 3,Kuaifit Pty Ltd,China,,Nan,Host: Fishburners,Kuaifit,Brisbane City,4000.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,Nan,Nan,Host,Cairns,4870.0,Nan,2019-01-08,Cairns (R),Far North Queensland,Cairns,8000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,Nan,Nan,Host,Cairns,4870.0,Nan,2019-01-08,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,Nan,Nan,Host,Cairns,4870.0,Nan,2019-01-08,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 3,Smart Reef Pty Ltd,New South Wales,,Nan,Host: Thespace,Smart Reef,Cairns,4870.0,Nan,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,50000.0
Hot Desq,Round 3,Sunbirds Aero Pty Ltd,France,,Nan,Host: River City Labs,Sunbirds,Fortitude Valley,4006.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,Takemetour,Thailand,,Qut Cea,Host: Qut Cea,Takemetour,Kelvin Grove,4059.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 2,Ziggu Pty Ltd,Luxembourg,,Nan,Host: Little Tokyo Two,Ziggu,Spring Hill,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 3,Curious Labs Pty Ltd,New South Wales,,Nan,Host: Thespace,Ai Powered Competitive And Market Intelligence,Bungalow,4870.0,Nan,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,75000.0
Hot Desq,Round 2,Turbulent Australia Pty Ltd,Belgium,,Nan,Host: Innovation Centre Sunshine Coast,Turbulent,Sippy Downs,4556.0,Nan,2017-07-27,Nonqueensland,Sunshine Coast,Nonqueensland,75000.0
Hot Desq,Round 2,Wisran,United States,,Nan,Host: Canvas Coworking Space (Toowoomba),Wisran,Toowoomba City,4350.0,Nan,2017-07-27,Nonqueensland,Darling Downs,Nonqueensland,75000.0
Hot Desq,Round 2,Zentivo Pty Ltd,New South Wales,,Nan,Host: Little Tokyo Two,Zentivo,Brisbane City,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,50000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Gold Coast Innovation Hub Limited,Robina,4226.0,Nan,Nan,Host,Robina,4226.0,Nan,2019-01-08,Gold Coast (C),Gold Coast,Mudgeeraba,8000.0
Hot Desq,Round 3,Hema Tilt Pty Ltd,France,,Nan,Host: Fishburners,Higheredme,Brisbane City,4000.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 3,Eco Wave Power Australia Pty Ltd,Gibraltar,,Nan,Host: River City Labs,Eco Wave Power,Fortitude Valley,4006.0,Nan,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000.0
Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,Nan,Nan,Host,Brisbane City,4000.0,Nan,2019-01-08,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,Nan,Nan,Host,Spring Hill,4000.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Timelooper,United States,,Nan,"Host: Creative Enterprise Australia, Qut",Timelooper,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,37500.0
Hot Desq,Round 1,Toured Adventures Pty Ltd,United States,,Nan,Host: Spark Bureau,Toured,Maroochydore,4558.0,Nan,2016-10-10,Nonqueensland,Sunshine Coast,Nonqueensland,75000.0
Hot Desq,Round 1,Touriocity Australia Pty Ltd,United Kingdom,,Nan,Host: River City Labs,Touriocity,Fortitude Valley,4006.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Suncayr Pty Ltd,Canada,,Nan,Host: Qut Bluebox,Suncayr,Kelvin Grove,4059.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,Nan,Nan,Host,Cairns,4870.0,Nan,2016-03-14,Cairns (R),Far North Queensland,Cairns,8000.0
Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,Nan,Nan,Host,Cairns,4870.0,Nan,2016-03-14,Cairns (R),Far North Queensland,Cairns,6000.0
Hot Desq,Round 2,Scoodit Pty Ltd,Switzerland,,Nan,Host: River City Labs,Scoodit,Fortitude Valley,4006.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 2,Ark Paradigm Pty Ltd,Chile,,Nan,Host: Fishburners,Ark Paradigm,Brisbane City,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 2,Aubot Pty Ltd,Victoria,,Nan,Host: Qut Bluebox,Aubot,Brisbane City,4000.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Trumbull Pty Ltd,United States,,Nan,Host: Little Tokyo Two,Trumbull Expansion To Queensland,Brisbane City,4000.0,Nan,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000.0
Hot Desq,Round 1,Wazlo Australia Pty Ltd,United States,,Nan,Host: Innovation Centre Sunshine Coast,Wazlo,Sippy Downs,4556.0,Nan,2016-10-10,Nonqueensland,Sunshine Coast,Nonqueensland,100000.0
Hot Desq,Round 2,Alfie Btc Pty Ltd (If No Reply),United Kingdom,,Nan,Host: River City Labs,Alfie Btc,Fortitude Valley,4006.0,Nan,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,Nan,Nan,Host,Kelvin Grove,4059.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,Nan,Nan,Host,Fortitude Valley,4006.0,Nan,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000.0
