_Id,Program,Round,Recipient Name,Physical Address Of Recipient - Suburb/Location,Physical Address Of Recipient - Post Code,University Collaborator (If Applicable),Other Partners; Collaborators (If Applicable),Investment/Project Title,Primary Location Of Activity/Project - Suburb,Primary Location Of Activity/Project - Post Code,Multiple Locations Of Activity/Project (If Applicable),Approval Date,Local Government /Council,Rap Region,State Electorate,Actual Contractual Commitment ($)
84,Founders Fellowships,Aq Founders Fellowship 2016-17 Round 1,Feline Pty Ltd,Bonogin,4213.0,,,Advanced Materials For Light-Weight Electric Motors,Bonogin,4213.0,N/A,2017-07-27,Gold Coast (C),Gold Coast,Mudgeeraba,100000
85,Fraunhofer Institute Partnership,Fraunhofer Institute Partnership,Griffith University,Southport,4215.0,,,Operation Of The Fraunhofer Icair Centre At Griffith’S Gold Coast Campus,Southport,4215.0,,2018-06-01,Gold Coast (C),Gold Coast,Bonney,700000
86,Global Ceo Challenge,Round 1,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059.0,,,Global Ceo Scale-Up Program,Kelvin Grove,4059.0,,2019-10-01,Brisbane (C),Brisbane And Redlands,Mcconnel,75000
87,Growing Queensland'S Companies,,University Of South Australia (Australian Centre For Business Growth),"Adelaide, Sa",,,,Growing Queensland'S Companies,,,"Multiple Areas In Queensland: Brisbane, Sunshine Coast, Townsville, Gold Coast",2017-02-28,Nonqueensland,Statewide,Nonqueensland,2202334
88,Hot Desq,Round 1,Citizen Wolf Pty Ltd,New South Wales,,,"Host: Creative Enterprise Australia, Qut",Citizen Wolf,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,50000
89,Hot Desq,Round 1,Lawadvisor Pty Ltd,Victoria,,,Host: River City Labs,Lawadvisor Connects People And Businesses With Expert And Easy To Understand Legal Advice.,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,45000
90,Hot Desq,Round 1,Krak Skateboarding Pty Ltd,Germany,,,Host: Little Tokyo Two,Krak,Brisbane City,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
91,Hot Desq,Round 1,Ata Technologies Au Pty Ltd,United States,,,Host: Qut Bluebox,Answer.Ky,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
92,Hot Desq,Round 1,Koala Safe Pty Ltd,New South Wales,,,Host: Thespace,Koalasafe,Cairns,4870.0,,2016-10-10,Nonqueensland,Far North Queensland,Nonqueensland,100000
93,Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
94,Hot Desq,Round 1,Openrevs Pty Ltd,New South Wales,,,Host: Collaborate,Openrevs,Spring Hill,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
95,Hot Desq,Round 1,Pixc Co Pty Limited,United States,,,Host: River City Labs,Pixc,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
96,Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000
97,Hot Desq,Round 1,Much Better Adventures Pty Ltd,United Kingdom,,,Host: River City Labs,Much Better Adventures,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
98,Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,9091
99,Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
100,Hot Desq,Round 1,Little Tokyo Two,Spring Hill,4000.0,,,Host,Brisbane City,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
101,Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
102,Hot Desq,Round 1,Eternime Pty Ltd,United States,,,Host: Qut Creative Enterprise Australia,Eternime,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
103,Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
104,Hot Desq,Round 1,Covercard Pty Ltd,Victoria,,,Host: River City Labs,Covercard,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
105,Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
106,Hot Desq,Round 1,Criskco Au Pty Ltd,Israel,,,Host: Collaborate,Criskco,Spring Hill,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
107,Hot Desq,Round 1,Deepblu (Australia) Pty Ltd,Taiwan,,,Host: Thespace,Deepblu Inc.,Cairns,4870.0,,2016-10-10,Nonqueensland,Far North Queensland,Nonqueensland,100000
108,Hot Desq,Round 1,Eikonic R & D Pty Ltd,Victoria,,,Host: Collaborate,Eikonic R&D Pty Ltd,Spring Hill,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
109,Hot Desq,Round 1,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
110,Hot Desq,Round 1,Innovation Centre Sunshine Coast,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,8000
111,Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
112,Hot Desq,Round 1,Kallfly Pty Ltd,Phillipines,,,Host: Little Tokyo Two,Kallfly,Brisbane City,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
113,Hot Desq,Round 1,Iridium Dynamics Pty Ltd,New South Wales,,,Host: Qut Bluebox,Iridium Dynamics,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
114,Hot Desq,Round 1,Flowpay Australia Pty Ltd,United States,,,Host: River City Labs,Flowpay,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,75000
115,Hot Desq,Round 1,Contact2Sale Pty Ltd,Brazil,,,Host: River City Labs,Contact2Sale,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
116,Hot Desq,Round 1,Collaborate Co-Working Pty Ltd,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
117,Hot Desq,Round 1,Foogi Australia Pty Limited,New South Wales,,,Host: Little Tokyo Two,Foogi,Brisbane City,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,50000
118,Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
119,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000
120,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
121,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
122,Hot Desq,Round 2,Reflive Pty Ltd,Victoria,,,Host: River City Labs,Reflive,Fortitude Valley,4006.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
123,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
124,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
125,Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,8000
126,Hot Desq,Round 2,Sunshine Coast Innovation Centre,Sippy Downs,4556.0,,,Host,Sippy Downs,4556.0,,2016-03-14,Sunshine Coast (R),Sunshine Coast,Buderim,6000
127,Hot Desq,Round 2,The Generator (Bundaberg),Bundaberg,4670.0,,,Host,Bundaberg,4670.0,,2017-06-01,Bundaberg (R),Wide Bay,Bundaberg,8000
128,Hot Desq,Round 2,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
129,Hot Desq,Round 2,Sensor Bridge Technologies Pty Ltd (Business Name - Less Industries),Argentina,,,Host: The Generator (Bundaberg),Less Industries,Bundaberg,4670.0,,2017-07-27,Nonqueensland,Wide Bay,Nonqueensland,100000
130,Hot Desq,Round 2,Speedlancer Pty Ltd,Victoria,,,Host: Little Tokyo Two,Speedlancer,Spring Hill,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
131,Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
132,Hot Desq,Round 2,Medicsensors Aus Pty Ltd (Medicsen),Spain,,,Host: Innovation Centre Sunshine Coast,Medicsen,Sippy Downs,4556.0,,2017-07-27,Nonqueensland,Sunshine Coast,Nonqueensland,100000
133,Hot Desq,Round 2,Micropowerlabs (Aus) Pty Ltd,Singapore,,,Host: Fire Station 101,Micropowerlabs,Ipswich,4305.0,,2017-07-27,Nonqueensland,Ipswich,Nonqueensland,55000
134,Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
135,Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
136,Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,3000
137,Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
138,Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
139,Hot Desq,Round 2,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
140,Hot Desq,Round 2,Pinch Labs,United States,,,Host: River City Labs,Pinch Labs,Fortitude Valley,4006.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
141,Hot Desq,Round 2,Pledgeme Pty Ltd,New Zealand,,,Host: Little Tokyo Two,Pledgeme,Brisbane City,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
142,Hot Desq,Round 2,Pycno Industries Pty Ltd,China,,,Host: Qut Bluebox,Pycno,Kelvin Grove,4059.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
143,Hot Desq,Round 3,Parasym,United Kingdom,,,Host: Fishburners,Parasym,Brisbane City,4000.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000
144,Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000
145,Hot Desq,Round 3,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000
146,Hot Desq,Round 3,Hotelflex Pty Ltd,United Kingdom,,,Host: Gc Hub,Hotelflex,Robina,4226.0,,2019-01-08,Nonqueensland,Gold Coast,Nonqueensland,100000
147,Hot Desq,Round 3,K R Consultancy Services Pty Ltd,Australian Capital Territory,,,Host: Thespace,Questagame,Manunda,4870.0,,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,75000
148,Hot Desq,Round 3,Kuaifit Pty Ltd,China,,,Host: Fishburners,Kuaifit,Brisbane City,4000.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,75000
149,Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,2019-01-08,Cairns (R),Far North Queensland,Cairns,8000
150,Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,2019-01-08,Cairns (R),Far North Queensland,Cairns,6000
151,Hot Desq,Round 3,The Space Australasia Pty Ltd,Cairns,4870.0,,,Host,Cairns,4870.0,,2019-01-08,Cairns (R),Far North Queensland,Cairns,6000
152,Hot Desq,Round 3,Smart Reef Pty Ltd,New South Wales,,,Host: Thespace,Smart Reef,Cairns,4870.0,,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,50000
153,Hot Desq,Round 3,Sunbirds Aero Pty Ltd,France,,,Host: River City Labs,Sunbirds,Fortitude Valley,4006.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000
154,Hot Desq,Round 3,Takemetour,Thailand,,Qut Cea,Host: Qut Cea,Takemetour,Kelvin Grove,4059.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000
155,Hot Desq,Round 2,Ziggu Pty Ltd,Luxembourg,,,Host: Little Tokyo Two,Ziggu,Spring Hill,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
156,Hot Desq,Round 3,Creative Industries Precinct Pty Ltd T/A Qut Creative Enterprise Australia,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,10000
157,Hot Desq,Round 3,Curious Labs Pty Ltd,New South Wales,,,Host: Thespace,Ai Powered Competitive And Market Intelligence,Bungalow,4870.0,,2019-01-08,Nonqueensland,Far North Queensland,Nonqueensland,75000
158,Hot Desq,Round 2,Turbulent Australia Pty Ltd,Belgium,,,Host: Innovation Centre Sunshine Coast,Turbulent,Sippy Downs,4556.0,,2017-07-27,Nonqueensland,Sunshine Coast,Nonqueensland,75000
159,Hot Desq,Round 2,Wisran,United States,,,Host: Canvas Coworking Space (Toowoomba),Wisran,Toowoomba City,4350.0,,2017-07-27,Nonqueensland,Darling Downs,Nonqueensland,75000
160,Hot Desq,Round 2,Zentivo Pty Ltd,New South Wales,,,Host: Little Tokyo Two,Zentivo,Brisbane City,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,50000
161,Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000
162,Hot Desq,Round 3,Gold Coast Innovation Hub Limited,Robina,4226.0,,,Host,Robina,4226.0,,2019-01-08,Gold Coast (C),Gold Coast,Mudgeeraba,8000
163,Hot Desq,Round 3,Hema Tilt Pty Ltd,France,,,Host: Fishburners,Higheredme,Brisbane City,4000.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,100000
164,Hot Desq,Round 3,Eco Wave Power Australia Pty Ltd,Gibraltar,,,Host: River City Labs,Eco Wave Power,Fortitude Valley,4006.0,,2019-01-08,Nonqueensland,Brisbane,Nonqueensland,75000
165,Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,8000
166,Hot Desq,Round 3,Fishburners Limited,Brisbane City,4000.0,,,Host,Brisbane City,4000.0,,2019-01-08,Brisbane (C),Brisbane,Mcconnel,6000
167,Hot Desq,Round 2,Little Tokyo Two,Spring Hill,4000.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
168,Hot Desq,Round 1,Timelooper,United States,,,"Host: Creative Enterprise Australia, Qut",Timelooper,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,37500
169,Hot Desq,Round 1,Toured Adventures Pty Ltd,United States,,,Host: Spark Bureau,Toured,Maroochydore,4558.0,,2016-10-10,Nonqueensland,Sunshine Coast,Nonqueensland,75000
170,Hot Desq,Round 1,Touriocity Australia Pty Ltd,United Kingdom,,,Host: River City Labs,Touriocity,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
171,Hot Desq,Round 1,Suncayr Pty Ltd,Canada,,,Host: Qut Bluebox,Suncayr,Kelvin Grove,4059.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
172,Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,,,Host,Cairns,4870.0,,2016-03-14,Cairns (R),Far North Queensland,Cairns,8000
173,Hot Desq,Round 1,Thespace Australasia Pty Ltd,Manunda,4870.0,,,Host,Cairns,4870.0,,2016-03-14,Cairns (R),Far North Queensland,Cairns,6000
174,Hot Desq,Round 2,Scoodit Pty Ltd,Switzerland,,,Host: River City Labs,Scoodit,Fortitude Valley,4006.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,100000
175,Hot Desq,Round 2,Ark Paradigm Pty Ltd,Chile,,,Host: Fishburners,Ark Paradigm,Brisbane City,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
176,Hot Desq,Round 2,Aubot Pty Ltd,Victoria,,,Host: Qut Bluebox,Aubot,Brisbane City,4000.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,100000
177,Hot Desq,Round 1,Trumbull Pty Ltd,United States,,,Host: Little Tokyo Two,Trumbull Expansion To Queensland,Brisbane City,4000.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
178,Hot Desq,Round 1,Wazlo Australia Pty Ltd,United States,,,Host: Innovation Centre Sunshine Coast,Wazlo,Sippy Downs,4556.0,,2016-10-10,Nonqueensland,Sunshine Coast,Nonqueensland,100000
179,Hot Desq,Round 2,Alfie Btc Pty Ltd (If No Reply),United Kingdom,,,Host: River City Labs,Alfie Btc,Fortitude Valley,4006.0,,2017-07-27,Nonqueensland,Brisbane,Nonqueensland,75000
180,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000
181,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,10000
182,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
183,Hot Desq,Round 1,Qut Bluebox,Kelvin Grove,4059.0,,,Host,Kelvin Grove,4059.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
184,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
185,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
186,Hot Desq,Round 1,Skin Analytics Pty Ltd,United Kingdom,,,Host: Bond University,Melanoma Home Screening,Varsity Lakes,4227.0,,2016-10-10,Nonqueensland,Gold Coast,Nonqueensland,100000
187,Hot Desq,Round 1,Spark Bureau Limited,Maroochydore,4558.0,,,Host,Maroochydore,4558.0,,2016-03-14,Sunshine Coast (R),Sunshine Coast,Maroochydore,6000
188,Hot Desq,Round 1,Squareaway Technologies Pty Ltd,Victoria,,,Host: River City Labs,Squareaway,Fortitude Valley,4006.0,,2016-10-10,Nonqueensland,Brisbane,Nonqueensland,100000
189,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,8000
190,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Spring Hill,4000.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
191,Hot Desq,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006.0,,,Host,Fortitude Valley,4006.0,,2016-03-14,Brisbane (C),Brisbane,Mcconnel,6000
